index,capability_id,capability,layer_ids,layers,obligation,activation,primary_mandatory_reference,v3_profile_overlays,authority_owners,design_conformance,runtime_conformance,evidence_status,promotion_state,required_positive_test,required_negative_test,evidence_requirement,rollback_requirement,source_decision_ids,source
10,CAP-011,MCP/Skill/Tool Fabric,7,"Tools, Skills & Automation",MANDATORY,ALWAYS_ON + JOB,"central MCP/Capability Gateway, Unla adapter",PROFILE-SOURCE-GRAPH; PROFILE-AUTHORITY-LINT; PROFILE-STATUS-MODEL; PROFILE-CHANGESET; PROFILE-RESOLVED-RUNTIME; PROFILE-EVIDENCE-COVERAGE; PROFILE-SOURCE-EXCLUSION; PROFILE-AGENT-SKILLS; PROFILE-AGENT-PLUGINS; PROFILE-AGENT-INTEROP; PROFILE-MINIMAX-MCP; PROFILE-SOURCE-GRAPH-REGRESSION; PROFILE-MANDATORY-MAPPING; PROFILE-SUPERSEDENCE; PROFILE-MOZILLA-AI-INTEGRATION; PROFILE-AGENT-OPERABLE-SURFACE; PROFILE-MOZILLA-PROVIDER-DISPOSITION,AUTH-POLICY; AUTH-DURABLE,DESIGN-CONFORMANT,EVIDENCE-PENDING,PENDING_CURRENT_HOST,NOT_RUNTIME_PROMOTED_BY_DOCUMENT_ALONE,AT-CAP-011-POS,AT-CAP-011-NEG,EVID-CAP-011-CURRENT-HOST,ROLLBACK-CAP-011,DEC-CAP-011; FA3-CORE-001; FA3-CORE-002; FA3-CORE-003; FA3-CORE-004; FA3-CORE-006; FA3-CORE-007; FA3-CORE-008; FA3-AGENT-001; FA3-AGENT-002; GC-01; GC-08; FA3-REG-001; FA3-REG-002; FA3-REG-003; FA3-MOZ-001; FA3-MOZ-AAF-001; FA3-MOZ-PROV-001,v2.0.20 §15 + v3.0.11 overlays
11,CAP-012,Browser Automation,7,"Tools, Skills & Automation",MANDATORY,JOB,Obscura primary REF; Chromium/Playwright fallback; PinchTab adapter,PROFILE-SOURCE-GRAPH; PROFILE-AUTHORITY-LINT; PROFILE-STATUS-MODEL; PROFILE-CHANGESET; PROFILE-RESOLVED-RUNTIME; PROFILE-EVIDENCE-COVERAGE; PROFILE-SOURCE-EXCLUSION; PROFILE-SOURCE-GRAPH-REGRESSION; PROFILE-MANDATORY-MAPPING; PROFILE-SUPERSEDENCE; PROFILE-AGENT-OPERABLE-SURFACE,AUTH-POLICY; AUTH-DURABLE,DESIGN-CONFORMANT,EVIDENCE-PENDING,PENDING_CURRENT_HOST,NOT_RUNTIME_PROMOTED_BY_DOCUMENT_ALONE,AT-CAP-012-POS,AT-CAP-012-NEG,EVID-CAP-012-CURRENT-HOST,ROLLBACK-CAP-012,DEC-CAP-012; FA3-CORE-001; FA3-CORE-002; FA3-CORE-003; FA3-CORE-004; FA3-CORE-006; FA3-CORE-007; FA3-CORE-008; FA3-REG-001; FA3-REG-002; FA3-REG-003; FA3-MOZ-AAF-001,v2.0.20 §15 + v3.0.11 overlays
12,CAP-013,KDE/Wayland Computer Use,7,"Tools, Skills & Automation",MANDATORY,SESSION,"wdotool, kdotool, ydotool fallback, OpenWhip REF",PROFILE-SOURCE-GRAPH; PROFILE-AUTHORITY-LINT; PROFILE-STATUS-MODEL; PROFILE-CHANGESET; PROFILE-RESOLVED-RUNTIME; PROFILE-EVIDENCE-COVERAGE; PROFILE-SOURCE-EXCLUSION; PROFILE-DESKTOP-CONSOLE; PROFILE-ASSISTANT; PROFILE-SOURCE-GRAPH-REGRESSION; PROFILE-MANDATORY-MAPPING; PROFILE-SUPERSEDENCE,AUTH-POLICY; AUTH-DURABLE,DESIGN-CONFORMANT,EVIDENCE-PENDING,PENDING_CURRENT_HOST,NOT_RUNTIME_PROMOTED_BY_DOCUMENT_ALONE,AT-CAP-013-POS,AT-CAP-013-NEG,EVID-CAP-013-CURRENT-HOST,ROLLBACK-CAP-013,DEC-CAP-013; FA3-CORE-001; FA3-CORE-002; FA3-CORE-003; FA3-CORE-004; FA3-CORE-006; FA3-CORE-007; FA3-CORE-008; FA3-DESKTOP-001; GC-10; FA3-REG-001; FA3-REG-002; FA3-REG-003,v2.0.20 §15 + v3.0.11 overlays
13,CAP-014,Film Planning/Direction,9,"Creative Design, Film, DCC & Documents",MANDATORY,PROFILE/JOB,Story/Director/Storyboard contracts,PROFILE-SOURCE-GRAPH; PROFILE-AUTHORITY-LINT; PROFILE-STATUS-MODEL; PROFILE-CHANGESET; PROFILE-RESOLVED-RUNTIME; PROFILE-EVIDENCE-COVERAGE; PROFILE-SOURCE-EXCLUSION; PROFILE-SOURCE-GRAPH-REGRESSION; PROFILE-MANDATORY-MAPPING; PROFILE-SUPERSEDENCE,AUTH-REGISTRY; AUTH-HUMAN; AUTH-OBS,DESIGN-CONFORMANT,EVIDENCE-PENDING,PENDING_CURRENT_HOST,NOT_RUNTIME_PROMOTED_BY_DOCUMENT_ALONE,AT-CAP-014-POS,AT-CAP-014-NEG,EVID-CAP-014-CURRENT-HOST,ROLLBACK-CAP-014,DEC-CAP-014; FA3-CORE-001; FA3-CORE-002; FA3-CORE-003; FA3-CORE-004; FA3-CORE-006; FA3-CORE-007; FA3-CORE-008; FA3-REG-001; FA3-REG-002; FA3-REG-003,v2.0.20 §15 + v3.0.11 overlays
14,CAP-015,Animation Department,9,"Creative Design, Film, DCC & Documents",MANDATORY,PROFILE/JOB,"Bforartists primary; Blender compatibility; OpenToonz, Synfig, Grease Pencil",PROFILE-SOURCE-GRAPH; PROFILE-AUTHORITY-LINT; PROFILE-STATUS-MODEL; PROFILE-CHANGESET; PROFILE-RESOLVED-RUNTIME; PROFILE-EVIDENCE-COVERAGE; PROFILE-SOURCE-EXCLUSION; PROFILE-SOURCE-GRAPH-REGRESSION; PROFILE-MANDATORY-MAPPING; PROFILE-SUPERSEDENCE,AUTH-REGISTRY; AUTH-HUMAN; AUTH-OBS,DESIGN-CONFORMANT,EVIDENCE-PENDING,PENDING_CURRENT_HOST,NOT_RUNTIME_PROMOTED_BY_DOCUMENT_ALONE,AT-CAP-015-POS,AT-CAP-015-NEG,EVID-CAP-015-CURRENT-HOST,ROLLBACK-CAP-015,DEC-CAP-015; FA3-CORE-001; FA3-CORE-002; FA3-CORE-003; FA3-CORE-004; FA3-CORE-006; FA3-CORE-007; FA3-CORE-008; FA3-REG-001; FA3-REG-002; FA3-REG-003,v2.0.20 §15 + v3.0.11 overlays
15,CAP-016,Media Generation/DCC,9,"Creative Design, Film, DCC & Documents",MANDATORY,PROFILE/JOB,"Stability Matrix fabric; ComfyUI, WanGP, Bforartists primary; Blender compatibility fallback",PROFILE-SOURCE-GRAPH; PROFILE-AUTHORITY-LINT; PROFILE-STATUS-MODEL; PROFILE-CHANGESET; PROFILE-RESOLVED-RUNTIME; PROFILE-EVIDENCE-COVERAGE; PROFILE-SOURCE-EXCLUSION; PROFILE-DENOISER-RESIDENCY; PROFILE-CONVERSATIONAL-NLE; PROFILE-PROGRESSIVE-FIDELITY; PROFILE-SOURCE-GRAPH-REGRESSION; PROFILE-MANDATORY-MAPPING; PROFILE-SUPERSEDENCE,AUTH-REGISTRY; AUTH-HUMAN; AUTH-OBS,DESIGN-CONFORMANT,EVIDENCE-PENDING,PENDING_CURRENT_HOST,NOT_RUNTIME_PROMOTED_BY_DOCUMENT_ALONE,AT-CAP-016-POS,AT-CAP-016-NEG,EVID-CAP-016-CURRENT-HOST,ROLLBACK-CAP-016,DEC-CAP-016; FA3-CORE-001; FA3-CORE-002; FA3-CORE-003; FA3-CORE-004; FA3-CORE-006; FA3-CORE-007; FA3-CORE-008; FA3-AI-004; FA3-MEDIA-001; FA3-MEDIA-002; FA3-REG-001; FA3-REG-002; FA3-REG-003,v2.0.20 §15 + v3.0.11 overlays
16,CAP-017,Speech/Audio/Music/Post,10,"Audio, Video, Streaming & Realtime",MANDATORY,SESSION/PROFILE/JOB,"PipeWire/PipeWire-JACK; Ardour primary DAW/final-audio; Qwen, ZONOS2, Whisper, pyannote; fairseq2 admissible sequence/speech research-training provider; MuseTalk, HeartMuLa, ACE-Step, Mixxx",PROFILE-SOURCE-GRAPH; PROFILE-AUTHORITY-LINT; PROFILE-STATUS-MODEL; PROFILE-CHANGESET; PROFILE-RESOLVED-RUNTIME; PROFILE-EVIDENCE-COVERAGE; PROFILE-SOURCE-EXCLUSION; PROFILE-FAIRSEQ; PROFILE-RNNOISE; PROFILE-ACE-STEP; PROFILE-STRUCTURED-MUSIC; PROFILE-YUE; PROFILE-HEADLESS-DAW; PROFILE-SOURCE-GRAPH-REGRESSION; PROFILE-MANDATORY-MAPPING; PROFILE-SUPERSEDENCE; PROFILE-NP-YUE-UI,AUTH-RESOURCE; AUTH-REGISTRY; AUTH-OBS,DESIGN-CONFORMANT,EVIDENCE-PENDING,PENDING_CURRENT_HOST,NOT_RUNTIME_PROMOTED_BY_DOCUMENT_ALONE,AT-CAP-017-POS,AT-CAP-017-NEG,EVID-CAP-017-CURRENT-HOST,ROLLBACK-CAP-017,DEC-CAP-017; FA3-CORE-001; FA3-CORE-002; FA3-CORE-003; FA3-CORE-004; FA3-CORE-006; FA3-CORE-007; FA3-CORE-008; FA3-AI-003; FA3-AUDIO-001; FA3-MUSIC-001; GC-07; GC-13; GC-14; FA3-REG-001; FA3-REG-002; FA3-REG-003; NP-03,v2.0.20 §15 + v3.0.11 overlays
17,CAP-018,Documents/Knowledge Authoring,9,"Creative Design, Film, DCC & Documents",MANDATORY,SESSION/PROFILE,LibreOffice+UNO primary human authoring; OfficeCLI structured OpenXML; Obsidian,PROFILE-SOURCE-GRAPH; PROFILE-AUTHORITY-LINT; PROFILE-STATUS-MODEL; PROFILE-CHANGESET; PROFILE-RESOLVED-RUNTIME; PROFILE-EVIDENCE-COVERAGE; PROFILE-SOURCE-EXCLUSION; PROFILE-DOC-KNOWLEDGE-COMPILATION; PROFILE-LIBREOFFICE; PROFILE-PRESENTATION-DESIGN; PROFILE-SOURCE-GRAPH-REGRESSION; PROFILE-MANDATORY-MAPPING; PROFILE-SUPERSEDENCE,AUTH-REGISTRY; AUTH-HUMAN; AUTH-OBS,DESIGN-CONFORMANT,EVIDENCE-PENDING,PENDING_CURRENT_HOST,NOT_RUNTIME_PROMOTED_BY_DOCUMENT_ALONE,AT-CAP-018-POS,AT-CAP-018-NEG,EVID-CAP-018-CURRENT-HOST,ROLLBACK-CAP-018,DEC-CAP-018; FA3-CORE-001; FA3-CORE-002; FA3-CORE-003; FA3-CORE-004; FA3-CORE-006; FA3-CORE-007; FA3-CORE-008; FA3-KNOW-001; FA3-DOC-001; GC-06; FA3-REG-001; FA3-REG-002; FA3-REG-003,v2.0.20 §15 + v3.0.11 overlays
18,CAP-019,QA/Evals/Verification,12,"Observability, Quality, Delivery & Feedback",MANDATORY,JOB/GATE,Verification Service; Evalite `REQ-ADAPTER + REF`; Hercules REF,PROFILE-SOURCE-GRAPH; PROFILE-AUTHORITY-LINT; PROFILE-STATUS-MODEL; PROFILE-CHANGESET; PROFILE-RESOLVED-RUNTIME; PROFILE-EVIDENCE-COVERAGE; PROFILE-SOURCE-EXCLUSION; PROFILE-ENGINEERING-HARNESS; PROFILE-PROGRESSIVE-FIDELITY; PROFILE-AGENT-INTEROP; PROFILE-PERSONA; PROFILE-SOURCE-GRAPH-REGRESSION; PROFILE-MANDATORY-MAPPING; PROFILE-SUPERSEDENCE,AUTH-OBS; AUTH-HUMAN,DESIGN-CONFORMANT,EVIDENCE-PENDING,PENDING_CURRENT_HOST,NOT_RUNTIME_PROMOTED_BY_DOCUMENT_ALONE,AT-CAP-019-POS,AT-CAP-019-NEG,EVID-CAP-019-CURRENT-HOST,ROLLBACK-CAP-019,DEC-CAP-019; FA3-CORE-001; FA3-CORE-002; FA3-CORE-003; FA3-CORE-004; FA3-CORE-006; FA3-CORE-007; FA3-CORE-008; FA3-ENG-001; FA3-MEDIA-002; GC-01; GC-05; FA3-REG-001; FA3-REG-002; FA3-REG-003,v2.0.20 §15 + v3.0.11 overlays
19,CAP-020,GEO/Publication Feedback,12,"Observability, Quality, Delivery & Feedback",MANDATORY,PROFILE/JOB,GeoLook closed-loop REF,PROFILE-SOURCE-GRAPH; PROFILE-AUTHORITY-LINT; PROFILE-STATUS-MODEL; PROFILE-CHANGESET; PROFILE-RESOLVED-RUNTIME; PROFILE-EVIDENCE-COVERAGE; PROFILE-SOURCE-EXCLUSION; PROFILE-SOURCE-GRAPH-REGRESSION; PROFILE-MANDATORY-MAPPING; PROFILE-SUPERSEDENCE,AUTH-OBS; AUTH-HUMAN,DESIGN-CONFORMANT,EVIDENCE-PENDING,PENDING_CURRENT_HOST,NOT_RUNTIME_PROMOTED_BY_DOCUMENT_ALONE,AT-CAP-020-POS,AT-CAP-020-NEG,EVID-CAP-020-CURRENT-HOST,ROLLBACK-CAP-020,DEC-CAP-020; FA3-CORE-001; FA3-CORE-002; FA3-CORE-003; FA3-CORE-004; FA3-CORE-006; FA3-CORE-007; FA3-CORE-008; FA3-REG-001; FA3-REG-002; FA3-REG-003,v2.0.20 §15 + v3.0.11 overlays
20,CAP-021,Context Engineering,5,"Unified AI Gateway, Model & Memory",MANDATORY,ALWAYS_ON module,Headroom-compatible Context Gateway,PROFILE-SOURCE-GRAPH; PROFILE-AUTHORITY-LINT; PROFILE-STATUS-MODEL; PROFILE-CHANGESET; PROFILE-RESOLVED-RUNTIME; PROFILE-EVIDENCE-COVERAGE; PROFILE-SOURCE-EXCLUSION; PROFILE-OPENVIKING; PROFILE-SURFSENSE; PROFILE-LLAMACPP; PROFILE-SOURCE-GRAPH-REGRESSION; PROFILE-MANDATORY-MAPPING; PROFILE-SUPERSEDENCE; PROFILE-MOZILLA-AI-INTEGRATION; PROFILE-MOZILLA-PROVIDER-DISPOSITION,AUTH-AI-ROUTING; AUTH-REGISTRY; AUTH-MEMORY; AUTH-RESOURCE,DESIGN-CONFORMANT,EVIDENCE-PENDING,PENDING_CURRENT_HOST,NOT_RUNTIME_PROMOTED_BY_DOCUMENT_ALONE,AT-CAP-021-POS,AT-CAP-021-NEG,EVID-CAP-021-CURRENT-HOST,ROLLBACK-CAP-021,DEC-CAP-021; FA3-CORE-001; FA3-CORE-002; FA3-CORE-003; FA3-CORE-004; FA3-CORE-006; FA3-CORE-007; FA3-CORE-008; FA3-AI-001; GC-02; GC-11; FA3-REG-001; FA3-REG-002; FA3-REG-003; FA3-MOZ-001; FA3-MOZ-PROV-001,v2.0.20 §15 + v3.0.11 overlays
